question,possible_answer_0,possible_answer_1,possible_answer_2,possible_answer_3,correct_answer
התאימו בין פירושי דוד למקרא או למדרש.: יודע בתלמוד,"דוד לפי חז""ל",דוד המקראי,None,None,0
התאימו בין פירושי דוד למקרא או למדרש.: גיבור חיל,דוד המקראי,"דוד לפי חז""ל",None,None,0
התאימו בין פירושי דוד למקרא או למדרש.: מאיר פנים בהלכה,"דוד לפי חז""ל",דוד המקראי,None,None,0
התאימו בין פירושי דוד למקרא או למדרש.: הורג ברשות החוק,"דוד לפי חז""ל",דוד המקראי,None,None,0
התאימו בין פירושי דוד למקרא או למדרש.: יודע נגן,דוד המקראי,"דוד לפי חז""ל",None,None,0
מהי הסיבה הריאלית-פוליטית לבחירתו של דוד בירושלים כעיר בירה?,כי היא מבורכת במקורות מים ומחצבים.,היות והיא ממוקמת בין נחלת שבט יהודה לנחלת שבט בנימין.,כי יש לה יתרונות טופוגרפיים להגנה מפני האויב.,None,1
"מהו מקור השם ""ירושלים"" לפי חכמי המדרש?","מפני שבמקום זה נצטווה משה ""של נעליך מעל רגליך"".","צירוף של ""יראה"" של אברהם עם ""שלם"" של מלכיצדק.",כך כינו את העיר יושביה הייבוסים.,None,1
"מהי ההשלכה המעשית לכך שירושלים ""לא נתחלקה לשבטים""?",היא לא מופיעה במפת חלוקת השבטים.,לא ניתן להשכיר בתים בירושלים.,מעולם לא היה ראש עיר לירושלים.,None,1
"אילו ערכים מהווים את עיקר ""מוסר הנביאים""?",שמירת שבת ומועדים.,קורבנות ופולחן.,"צדק, חמלה ומשפט.",None,2
"לפי חז""ל מה מאפיין את נבואות ישעיהו וירמיהו?",ישעיהו נביא נחמה וירמיהו נביא פורענות.,ישעיהו מתנבא למלכים וירמיהו מתנבא אל העם הפשוט.,ישעיהו נביא אמת וירמיהו נביא שקר.,None,0
"כיצד מגיב ישעיהו כאשר הקב""ה מבקש לשלוח אותו בשליחות נבואית?",והלא אנוכי הקטן בשבטי ישראל.,שלח נא ביד תשלח.,הנני שלחני.,None,2
כיצד מתבטא ירמיהו הנביא כשפונה לאנשי ישראל?,שמעו קציני סדום.,שמעו בית יעקב.,שמעו אנשי דמים.,None,1
מי הם שלשת השושבינים של עם ישראל על פי המשל המובא במדרש?,"משה, ישעיהו וירמיהו.","אברהם, יצחק ויעקב.","מיכאל, גבריאל ורפאל.",None,0
איזה מההיגדים הבאים אינו נכון ביחס למדרש ויקרא רבה?,זהו מדרש אגדה דרשני על ספר ויקרא.,זהו מדרש הלכתי פרשני על ספר ויקרא.,זהו מדרש המכיל הרבה חומר עממי המתאים לבאי בתי הכנסת.,None,1
התאימו את ההבדלים לירמיהו או ישעיהו: קיבל שליחותו בשמחה,ישעיהו,ירמיהו,None,None,0
התאימו את ההבדלים לירמיהו או ישעיהו: יליד ירושלים,ישעיהו,ירמיהו,None,None,0
התאימו את ההבדלים לירמיהו או ישעיהו: לכך אחריי במדבר,ירמיהו,ישעיהו,None,None,0
התאימו את ההבדלים לירמיהו או ישעיהו: נביא נחמה,ישעיהו,ירמיהו,None,None,0
התאימו את ההבדלים לירמיהו או ישעיהו: נביא פורענות,ירמיהו,ישעיהו,None,None,0
התאימו את ההבדלים לירמיהו או ישעיהו: יליד ענתות,ירמיהו,ישעיהו,None,None,0
התאימו את ההבדלים לירמיהו או ישעיהו: ניסה להתחמק משליחותו,ירמיהו,ישעיהו,None,None,0
התאימו את ההבדלים לירמיהו או ישעיהו: שמעו בית יעקב,ירמיהו,ישעיהו,None,None,0
התאימו את ההבדלים לירמיהו או ישעיהו: איכה הייתה לזונה,ישעיהו,ירמיהו,None,None,0
התאימו את ההבדלים לירמיהו או ישעיהו: שמעו קציני סדום,ישעיהו,ירמיהו,None,None,0
התאימו את ההבדלים לירמיהו או ישעיהו: פעל באמצע תקופת בית ראשון,ישעיהו,ירמיהו,None,None,0
התאימו את ההבדלים לירמיהו או ישעיהו: פעל לקראת סוף בית ראשון,ירמיהו,ישעיהו,None,None,0
כיצד מסתיים ספר ירמיהו?,בתיאור יבש של החורבן.,בנבואת נחמה נרגשת.,בקריאה לגולי בבל לשוב אל אדמתם.,None,0
"מי חיבר את מגילת איכה על פי חז""ל?",ירמיהו הנביא.,משה רבנו.,עזרא הסופר.,None,0
מהו המסר שהיה כלול באגרת ששלח ירמיהו לגולי בבל?,מסר מורכב של תודעה של גלות זמנית יחד עם נכונות להשתקע בבבל.,מסר חד משמעי לניהול מאבק נחוש לשוב לירושלים.,מסר חד משמעי של קריאה לניתוק מירושלים והשתקעות בבבל.,None,0
מה איפשר לדעת החכמים את נבואתו של יחזקאל בגלות בבל?,יחזקאל קיבל רשות חריגה לכך בשל רמתו הרוחנית הגבוהה.,בבל מספיק קרובה לארץ ישראל.,זכות האבות.,None,2
איזה מההיגדים הבאים אינו נכון ביחס למדרש איכה רבה?,זהו מדרש קדום מתקופת התנאים.,זהו מדרש המכיל הרבה חומר סיפורי על חורבן בית המקדש השני.,זהו מדרש אגדה פרשני על מגילת איכה.,None,0
איזה מנהג מופיע בתוספתא בהקשר לזיכרון של חורבן בית המקדש?,להשאיר חלק שאינו מסויד בבית.,לא לשיר שירים שמחים.,ללמוד בעל פה את מגילת איכה.,None,0
מהו המנהג העולה מהסיפור בתלמוד על החתונה שעשה חכם מסוים לבנו?,"בעת החתונה שובר החתן כוס ואומר את פסוקי ""אם אשכחך ירושלים"".",החתן מניח מעט אפר על ראשו בזמן החופה.,הכלה מכסה את ראשה במטפחת לבנה.,None,0
באיזה מספרי המקרא האחרונים מופיע אזכור לנבואת ירמיהו על שבעים השנה?,מגילת אסתר.,ספר חגי הנביא.,ספר דניאל.,None,2
כיצד מכונה כורש בספר ישעיהו?,משיח.,גיבור.,מלך העולם.,None,0
"מהי הביקורת שמביע המקרא כנגד כורש, על פי פרשנות התלמוד?",שלא נקט ביוזמה פעילה לבניית בית המקדש.,שהוציא הרבה יהודים להורג.,שאסר על שמירת מצוות הדת היהודית.,None,0
"על פי חז""ל, למה היה ראוי עזרא?",להיות מלך ישראל.,שהתורה תינתן על ידו.,להיות משיח.,None,1
